R;Nome;Squadra;Qt.A;FVM
A;Success;Udinese;11;20
A;Zirkzee;Bologna;10;15
A;Satriano;Empoli;10;16
A;Djuric;Verona;10;23
A;Henry;Verona;10;1
A;Kallon;Verona;9;7
A;Lasagna;Verona;8;12
A;Nestorovski;Udinese;8;6
A;Botheim;Salernitana;8;7
A;Gytkjaer;Monza;8;10
A;Solbakken;Roma;8;8
A;Pellegri;Torino;7;20
A;Raspadori;Napoli;7;40
A;Buonaiuto;Cremonese;7;5
A;Verde;Spezia;6;16
A;Belotti;Roma;6;10
A;Ngonge;Verona;6;12
A;Karamoh;Torino;5;16
A;Seck;Torino;5;6
A;Destro;Empoli;4;12
A;Sansone;Bologna;4;12
A;Quagliarella;Sampdoria;4;8
A;Defrel;Sassuolo;4;10
A;Pjaca;Empoli;4;4
A;Piccoli;Empoli;4;10
A;Gaich;Verona;4;6
A;Soule';Juventus;4;5
A;Tsadjout;Cremonese;4;5
A;Shomurodov;Spezia;3;26
A;Afena-Gyan;Cremonese;3;8
A;Pussetto;Sampdoria;2;3
A;Cancellieri;Lazio;2;5
A;Valencia D.;Salernitana;2;2
A;Ibrahimovic;Milan;1;15
A;Oddei;Sassuolo;1;1
A;Braaf;Verona;1;4
A;Raimondo;Bologna;1;1
A;Kaio Jorge;Juventus;1;1
A;De Luca;Sampdoria;1;1
A;Voelkerling Persson;Lecce;1;1
A;Montevago;Sampdoria;1;3
A;Krollis;Spezia;1;2
A;Vivaldo;Udinese;1;1
